"group","WATER_2006","APR_MAY_07","SUMMER_07"
4,34,11,20
4,79,26,20
1,126,8,24
4,30,9,25
4,110,11,50
1,62,10,34
4,67,13,25
4,95,15,42
3,64,29,48
4,77,25,47
4,104,22,44
4,29,5,10
4,103,23,56
4,90,20,79
4,43,11,26
3,34,8,23
4,27,9,20
4,50,13,26
2,60,12,65
4,69,14,29
4,75,18,44
4,49,15,35
4,47,6,7
1,38,13,19
3,36,13,27
4,60,20,39
4,41,13,34
2,100,12,53
4,31,10,22
4,41,7,19
4,26,7,11
4,61,20,34
4,50,14,28
4,80,14,54
2,57,13,34
4,71,16,80
4,31,8,24
4,31,10,18
4,23,6,12
1,37,9,22
1,26,6,15
2,162,18,89
4,30,9,17
4,36,16,36
3,30,1,0
4,38,15,48
4,47,32,24
4,42,8,17
1,54,7,27
1,33,11,22
4,23,3,20
4,35,13,27
1,54,16,44
4,38,5,9
4,46,18,30
4,31,25,33
4,85,26,51
4,33,13,20
4,31,10,18
4,157,41,91
4,35,5,11
3,96,31,51
4,38,9,19
1,29,11,16
4,29,5,16
4,48,13,24
2,52,4,8
4,44,6,1
4,44,13,26
1,35,9,26
4,36,11,19
4,90,39,48
3,73,16,48
1,122,31,65
4,34,10,21
4,50,8,11
4,29,6,9
4,29,9,18
4,35,11,18
4,35,14,36
4,47,11,29
4,94,21,63
4,52,15,34
4,35,10,18
4,36,10,22
4,36,12,24
3,30,10,20
4,42,12,27
4,38,8,17
1,31,6,13
4,37,11,27
4,78,32,39
2,37,15,20
2,47,18,39
1,43,10,18
4,49,12,28
4,53,17,66
1,46,11,27
3,35,8,22
4,62,10,44
4,52,13,37
1,72,24,52
4,41,11,24
1,38,10,22
4,61,13,18
4,83,15,30
4,70,12,37
4,37,4,1
4,28,9,18
3,29,7,25
4,38,14,19
1,89,19,7
4,42,10,22
4,73,20,48
4,46,12,28
2,75,14,40
4,92,20,56
2,40,11,20
3,39,16,25
3,90,17,47
4,53,14,35
4,88,20,53
4,91,8,50
4,59,19,87
4,101,15,46
2,41,13,45
4,169,11,14
4,45,11,21
4,28,13,17
3,35,9,24
1,23,5,10
4,38,18,26
1,28,9,24
4,42,10,26
4,44,14,35
4,63,21,54
4,50,13,48
4,69,18,47
4,102,23,63
4,84,19,55
4,81,23,52
3,61,13,57
4,57,15,32
4,23,5,14
1,94,24,68
2,64,11,27
2,61,15,34
4,39,8,30
1,37,5,26
4,69,21,65
4,26,7,11
4,32,11,16
4,58,11,72
1,40,14,26
2,52,22,35
4,34,12,21
4,33,7,34
4,48,24,39
4,88,23,64
4,34,10,19
4,73,16,48
4,78,19,54
4,31,7,10
2,80,21,24
1,50,8,27
4,43,9,31
2,97,25,54
3,78,15,40
3,34,10,18
4,59,23,43
4,57,20,9
4,38,12,21
4,37,13,36
4,42,14,29
4,41,10,23
4,66,28,28
4,37,13,27
3,34,16,24
4,33,8,20
4,40,6,19
4,50,17,25
4,168,24,45
4,56,12,20
4,49,21,51
2,64,10,30
4,42,14,23
4,84,14,41
1,24,10,18
1,27,4,9
4,39,14,25
4,44,12,41
3,38,10,21
4,37,8,13
4,34,6,15
4,30,12,24
4,38,13,25
4,86,20,41
4,37,12,23
4,25,6,14
3,35,15,12
2,42,14,9
4,52,2,3
4,95,32,54
4,29,12,16
4,32,11,15
4,57,11,32
4,46,14,23
4,38,13,27
4,42,12,25
4,84,32,67
4,117,46,115
2,65,12,26
2,50,13,41
4,172,36,106
4,57,16,36
4,35,8,16
2,29,8,17
2,69,19,41
2,53,27,51
3,56,20,30
1,37,9,21
4,44,14,27
3,34,9,20
4,88,31,61
4,45,28,68
4,98,24,58
4,30,6,13
4,51,14,32
4,84,28,58
2,34,11,22
4,48,18,36
4,67,18,38
4,24,9,14
4,43,12,21
4,75,18,38
3,45,11,18
4,50,10,20
4,70,22,23
1,68,24,32
4,26,6,11
4,47,17,27
4,44,16,33
1,55,6,34
3,51,9,29
4,46,17,38
4,108,19,46
4,169,27,98
3,44,15,21
4,50,9,15
4,41,8,13
3,41,1,13
3,30,6,19
4,40,13,18
1,53,16,24
1,34,16,21
4,50,10,31
4,63,15,36
4,81,15,42
2,107,24,90
2,58,16,36
2,78,19,41
4,52,18,30
4,39,5,12
4,60,12,53
4,31,6,14
4,31,9,32
4,32,19,28
4,35,10,20
4,41,12,38
3,32,3,5
3,36,10,20
3,139,33,53
2,44,17,24
3,24,9,15
4,93,18,47
4,184,18,166
1,77,21,84
4,76,13,53
3,40,16,36
4,50,14,28
4,28,19,18
1,41,8,17
4,34,13,14
4,67,21,10
2,43,11,19
4,92,35,63
4,25,5,10
4,125,54,88
2,40,11,15
3,63,13,39
3,84,22,48
1,30,11,20
4,36,14,30
4,26,10,18
1,25,8,14
2,45,11,26
4,28,7,25
4,31,11,28
4,26,8,31
4,27,10,23
4,28,4,7
4,37,10,20
4,29,9,20
4,59,15,24
4,24,7,13
4,77,24,55
1,54,15,25
1,33,8,18
1,115,15,48
4,28,9,29
4,29,9,18
4,66,12,20
3,57,8,22
1,42,13,38
4,34,13,25
4,31,10,19
4,30,11,26
3,36,8,21
4,42,13,33
3,31,9,18
4,48,16,30
3,43,5,13
4,28,8,14
3,47,17,64
4,27,9,16
1,156,24,79
4,24,12,23
2,74,21,37
4,24,4,6
2,27,8,16
4,51,11,16
4,26,11,18
4,24,9,15
3,25,7,20
4,66,23,50
4,71,25,53
4,40,13,21
4,54,15,27
4,27,7,18
4,37,2,2
4,62,15,31
4,25,8,10
3,38,15,28
1,32,12,22
4,60,15,31
4,29,13,17
4,28,7,22
4,40,3,10
4,33,12,34
4,77,9,34
4,31,5,7
1,51,22,34
4,26,9,18
4,31,10,16
4,23,0,1
4,45,12,30
4,90,35,56
4,65,21,54
1,62,35,61
3,98,14,42
4,32,8,27
4,29,6,16
4,34,16,31
4,47,22,27
2,45,10,35
4,50,16,32
4,30,7,39
4,28,8,15
4,73,17,30
1,108,14,20
2,39,8,15
4,26,9,16
1,34,9,62
3,36,17,15
4,29,9,19
1,30,10,18
3,81,13,27
4,50,12,21
4,22,6,10
4,98,28,62
4,30,10,21
4,67,12,45
4,51,8,23
2,61,14,46
1,24,5,7
4,31,5,11
